id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2,Distance
44054,100,0,9,9,1,0,39.89503,116.45163,1,9,2,3,4,816,6,69,1,17,34,64,339,90,20,3191,91,9,9,10,10,10,9,1,0,0,9,7,2,0,0.85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,6.157
100213,96.53,0,4,4,1,0,40.68434,117.17231,1,2,1,1,1,1203,1,0,1,0,0,0,0,2,0,632,100,10,9,10,10,9,9,1,0,0,4,0,3,1,0.09,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,106.644
128496,100,0,1,1,1,0,39.93213,116.422,0,3,2,2,3,401,2,104,3,12,21,28,61,263,13,2910,97,10,10,10,10,10,10,0,0,0,1,1,0,0,2.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2.26
161902,100,0,5,5,1,0,39.93357,116.43577,1,2,1,1,1,387,1,0,1,0,0,0,262,26,0,2820,77,8,7,9,9,9,8,1,0,0,5,5,0,0,0.28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3.444
162144,100,0,5,5,1,0,39.93668,116.43798,1,4,1,1,2,553,1,0,1,16,43,73,348,37,2,2778,87,8,7,9,9,9,9,1,0,0,5,5,0,0,0.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3.686
279078,78,0,6,6,1,0,39.93958,116.43485,1,2,1,1,1,401,2,64,1,29,59,89,364,29,9,2656,82,8,8,8,8,9,8,1,0,1,6,5,1,0,0.33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,3.509
282825,100,1,2,2,1,1,39.93712,116.45089,1,4,2,2,3,657,2,0,3,0,0,18,24,110,18,2584,98,10,10,10,10,10,10,0,0,0,1,1,0,0,1.28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4.777
287026,100,0,9,9,1,0,39.94115,116.44122,1,3,1,1,1,415,2,80,1,0,0,0,140,3,0,2706,100,9,7,7,9,8,8,0,0,0,9,8,1,0,0.03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4.079
287511,100,0,9,9,1,0,39.94032,116.44227,1,3,1,1,1,415,2,80,1,0,0,0,0,37,0,2637,92,9,9,9,10,9,9,0,0,0,9,8,1,0,0.42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4.138
317195,78,0,6,6,1,0,39.93946,116.43545,1,2,0,1,1,546,2,63,1,10,40,70,345,3,0,2085,60,7,7,5,7,8,7,1,0,1,6,5,1,0,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.554
322292,100,0,9,9,1,0,39.93849,116.44066,1,2,1,1,1,436,2,100,1,0,0,2,277,11,0,2564,93,9,9,8,9,10,9,0,0,0,9,8,1,0,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,3.953
398784,100,0,9,9,1,0,39.89403,116.44896,1,3,1,1,1,885,1,69,1,30,60,90,365,4,0,1864,95,10,10,10,10,9,9,0,0,0,9,7,2,0,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,6.055
445306,100,0,1,1,1,1,39.91342,116.41837,1,6,1,2,2,934,4,104,1,11,38,66,332,158,24,2548,97,10,10,10,10,10,10,1,0,0,1,1,0,0,1.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2.674
456641,100,0,9,9,1,0,39.93848,116.44248,1,3,1,1,1,436,2,100,1,0,0,0,0,8,0,2532,100,9,9,9,9,10,9,0,0,0,9,8,1,0,0.09,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,4.103
458561,100,0,9,9,1,0,39.93967,116.44128,1,2,1,1,1,477,2,80,1,0,0,2,277,5,0,2472,95,10,9,10,10,10,10,0,0,0,9,8,1,0,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4.037
491280,100,0,5,5,1,0,39.93516,116.43682,1,2,1,1,1,387,1,0,1,0,0,0,262,4,0,2046,75,7,9,8,9,8,8,1,0,0,5,5,0,0,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3.558
498126,100,0,9,9,1,0,39.94059,116.44175,1,2,1,1,1,415,2,80,2,0,0,0,0,15,0,2544,85,9,8,9,10,9,9,0,0,0,9,8,1,0,0.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4.104
537674,100,0,6,6,1,0,39.92412,116.37063,1,16,8,8,8,8900,1,200,1,30,60,90,365,11,1,2217,93,9,9,9,9,9,9,0,1,1,4,0,4,0,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2.231
554123,100,0,9,9,1,0,39.93879,116.4412,1,3,1,1,1,415,2,80,1,0,0,2,277,8,0,2480,90,9,9,10,9,9,9,0,0,0,9,8,1,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4.006
627240,96.53,0,1,1,1,0,39.94956,116.34887,1,1,2,1,1,408,1,0,1,24,48,78,353,1,0,2447,94,10,10,6,10,10,10,0,0,0,1,0,1,0,0.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,4.543
685820,100,0,9,9,1,1,39.90133,116.48154,1,2,1,1,1,429,1,0,1,30,60,90,365,7,0,1338,91,9,10,10,10,10,10,0,0,1,9,9,0,0,0.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,7.989
762579,100,1,1,1,1,1,39.94612,116.34326,0,7,2,3,3,1093,1,0,2,18,39,60,145,70,10,2332,97,10,9,10,10,9,10,0,0,0,1,1,0,0,0.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,4.813
824570,100,0,9,9,1,1,39.89854,116.48338,1,2,1,1,1,408,1,0,1,30,60,90,365,2,0,1526,100,10,10,10,10,9,10,1,0,1,9,9,0,0,0.04,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,8.259
829407,93,1,4,4,1,0,39.939,116.39129,1,2,1,1,2,297,1,97,1,19,41,71,237,120,11,2291,99,10,10,10,10,10,10,0,1,1,4,0,4,0,1.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1.069
851984,93,1,4,4,1,0,39.93923,116.39094,1,1,1,1,1,270,1,0,2,11,27,57,332,111,6,2311,99,10,10,10,10,10,10,0,1,1,4,0,4,0,1.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1.103
855090,93,1,4,4,1,0,39.93946,116.39161,1,2,0.5,1,2,249,1,97,2,7,32,59,312,189,26,2299,99,10,10,10,10,10,10,0,1,1,4,0,4,0,2.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1.108
