,Unnamed: 0,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,neighbourhood_cleansed,latitude,longitude,is_location_exact,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,0,44054,100%,0,9.0,9.0,1,0,3,39.89503,116.45163,1,0,9,2.0,3,4.0,0,816.00,6,69.00,1,17,34,64,339,90,20,2010-08-25,91.0,9.0,9.0,10.0,10.0,10.0,9.0,1,0,0,0,0,9,7,2,0,0.85
1,1,100213,,0,4.0,4.0,1,0,4,40.68434,117.17231,1,1,2,1.0,1,1.0,0,"1,203.00",1,0.00,1,0,0,0,0,2,0,2017-08-27,100.0,10.0,9.0,10.0,10.0,9.0,9.0,1,0,0,0,0,4,0,3,1,0.09
2,2,128496,100%,0,1.0,1.0,1,0,0,39.93213,116.422,0,0,3,2.0,2,3.0,0,401.00,2,104.00,3,12,21,28,61,263,13,2011-06-02,97.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0,0,0,1,1,0,0,2.71
3,3,161902,100%,0,5.0,5.0,1,0,0,39.93357,116.43577,1,0,2,1.0,1,1.0,0,387.00,1,0.00,1,0,0,0,262,26,0,2011-08-31,77.0,8.0,7.0,9.0,9.0,9.0,8.0,1,0,0,0,0,5,5,0,0,0.28
4,4,162144,100%,0,5.0,5.0,1,0,3,39.93668,116.43798,1,0,4,1.0,1,2.0,0,553.00,1,0.00,1,16,43,73,348,37,2,2011-10-12,87.0,8.0,7.0,9.0,9.0,9.0,9.0,1,0,0,0,0,5,5,0,0,0.4
5,5,279078,78%,0,6.0,6.0,1,0,0,39.93958,116.43485,1,0,2,1.0,1,1.0,0,401.00,2,64.00,1,29,59,89,364,29,9,2012-02-11,82.0,8.0,8.0,8.0,8.0,9.0,8.0,1,0,1,0,1,6,5,1,0,0.33
6,6,282825,100%,1,2.0,2.0,1,1,3,39.93712,116.45089,1,0,4,2.0,2,3.0,0,657.00,2,0.00,3,0,0,18,24,110,18,2012-04-23,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,1,0,0,1,1,0,0,1.28
7,7,287026,100%,0,9.0,9.0,1,0,3,39.94115,116.44122,1,0,3,1.0,1,1.0,0,415.00,2,80.00,1,0,0,0,140,3,0,2011-12-23,100.0,9.0,7.0,7.0,9.0,8.0,8.0,0,0,2,0,0,9,8,1,0,0.03
8,8,287511,100%,0,9.0,9.0,1,0,3,39.94032,116.44227,1,0,3,1.0,1,1.0,0,415.00,2,80.00,1,0,0,0,0,37,0,2012-03-01,92.0,9.0,9.0,9.0,10.0,9.0,9.0,0,0,1,0,0,9,8,1,0,0.42
9,9,317195,78%,0,6.0,6.0,1,0,0,39.93946,116.43545,1,0,2,0.0,1,1.0,0,546.00,2,63.00,1,10,40,70,345,3,0,2013-09-04,60.0,7.0,7.0,5.0,7.0,8.0,7.0,1,0,2,0,1,6,5,1,0,0.04
