,id,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,price,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2
8552,26899857,100,0,12,12,1,0,40.34559,116.58622,1,16,12,12,25,7990,1,0,1,24,51,81,171,1,1,2018/12/23,100,10,10,10,10,10,10,0,0,0,12,1,11,0,0.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
16972,33630912,100,0,1,1,1,0,40.37845,116.54475,0,16,6,6,8,7900,1,0,1,25,55,85,175,2,2,2019/4/23,100,10,10,10,10,10,10,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
17889,34124111,100,0,5,5,1,0,40.41083,116.59978,0,15,7,6,6,7879,14,100,1,25,55,85,360,2,2,2019/5/3,100,10,10,10,10,10,10,1,0,0,5,1,4,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
732,11977870,100,0,3,3,1,0,40.03118,116.5085,0,9,6,4,6,7803,9,300,1,0,0,0,0,1,0,2018/1/1,100,10,10,10,10,10,10,1,0,0,2,2,0,0,0.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
3272,19846915,96.53,0,0,0,1,0,40.1135,116.73592,0,16,8,7,16,7596,1,0,1,30,60,90,90,2,0,2017/9/24,100,8,8,10,10,8,10,1,0,0,1,1,0,0,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
6850,24819666,100,1,42,42,1,0,39.92426,115.98885,0,10,5,5,1,6899,10,350,1,30,60,90,180,1,0,2018/5/6,100,10,10,10,10,10,10,0,0,0,1,1,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
1185,14301188,67,0,2,2,1,1,40.3642,115.99757,0,16,8,10,16,6888,1,0,1,30,60,90,365,1,0,2016/10/3,100,10,10,10,10,10,8,0,0,0,2,2,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0
586,10127776,100,0,6,6,1,0,39.89778,116.39267,0,6,3,3,3,6878,6,300,1,29,59,89,179,2,0,2017/8/27,100,10,10,10,10,10,10,0,0,0,6,0,6,0,0.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
2896,19089155,100,0,9,9,1,0,40.46369,116.60204,0,16,8,8,16,6802,2,0,1,20,50,80,260,1,0,2017/8/3,100,8,10,10,8,10,10,0,0,0,9,1,8,0,0.05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5946,23818807,100,0,2,2,1,0,40.36398,116.61752,0,12,8.5,5,5,6802,1,0,1,23,53,83,358,6,6,2018/9/19,97,10,10,10,10,10,9,1,0,0,2,2,0,0,0.73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
8523,26873345,100,0,2,2,1,0,40.40215,116.34487,0,16,3,6,6,6802,1,0,1,29,59,89,179,3,3,2018/9/9,93,10,9,10,10,9,9,1,0,0,2,2,0,0,0.35,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
