,host_response_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,is_location_exact,accommodates,bathrooms,bedrooms,beds,guests_included,extra_people,minimum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,neighbourhood_cleansed0,neighbourhood_cleansed1,neighbourhood_cleansed2,neighbourhood_cleansed3,neighbourhood_cleansed4,neighbourhood_cleansed5,neighbourhood_cleansed6,neighbourhood_cleansed7,neighbourhood_cleansed8,neighbourhood_cleansed9,neighbourhood_cleansed10,neighbourhood_cleansed11,neighbourhood_cleansed12,neighbourhood_cleansed13,neighbourhood_cleansed14,neighbourhood_cleansed15,bed_type0,bed_type1,bed_type2,bed_type3,bed_type4,room_type0,room_type1,room_type2,cancellation_policy0,cancellation_policy1,cancellation_policy2
6644,100.0,0,15,15,1,0,39.87174,116.4517,0,3,1.0,1,3,1,0,1,30,60,90,365,4,4,288.0,87,9,9,9,9,9,9,0,0,0,15,6,9,0,0.42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
7614,90.0,0,26,26,1,1,39.96835,116.41803,0,4,1.0,2,2,1,0,1,30,60,90,365,1,1,88.0,40,6,6,6,4,4,2,0,0,0,22,22,0,0,0.34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
1135,100.0,1,1,1,1,1,40.050309999999996,116.30971000000001,0,2,2.0,3,1,1,0,1,14,44,74,74,76,29,958.0,99,10,10,10,10,10,10,1,0,0,1,0,1,0,2.38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
490,88.0,0,14,14,1,0,39.90907,116.47075,1,1,1.0,1,1,1,0,1,30,60,90,365,5,1,1239.0,84,8,9,10,10,9,8,1,0,0,13,0,8,5,0.12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
9172,96.0,0,27,27,1,0,39.88478,116.31383000000001,1,4,1.0,2,2,1,0,1,21,51,81,356,4,4,136.0,90,10,9,10,10,9,9,1,0,0,26,25,1,0,0.87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
10704,96.53,0,1,1,1,0,39.94464,116.41909,0,2,1.0,1,1,1,0,1,30,60,90,91,8,8,198.0,80,9,8,9,9,9,9,1,0,0,1,1,0,0,1.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
1730,100.0,0,3,3,1,0,39.93645,116.45532,1,4,1.0,2,2,2,0,1,26,56,86,361,25,4,864.0,89,9,9,9,9,10,9,1,0,0,3,3,0,0,0.87,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
12802,100.0,0,10,10,1,0,39.96855,116.32496,1,8,1.0,3,4,6,100,1,25,55,72,161,3,3,79.0,93,9,10,10,10,10,9,1,0,0,4,4,0,0,1.13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
10093,90.0,0,2,2,1,0,39.91385,116.4865,1,4,1.0,1,2,2,88,1,0,0,0,53,1,1,230.0,80,10,10,8,10,10,8,0,0,0,2,1,1,0,0.13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
4218,100.0,1,3,3,1,0,39.90874,116.49808,1,4,1.0,1,2,1,200,2,0,0,0,91,10,7,516.0,96,10,10,9,10,10,10,0,0,0,1,1,0,0,0.58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
